target,feature1,feature2,feature3,feature4
3,98.69379206,282.2715634,66.84308313,19
5,667.5469464,229.514699,-232.0335616,18
5,14.56298179,259.1890705,101.6288164,19
0,-38.39472684,265.7545662,120.4539834,11
1,274.5657129,372.7993166,25.64217319,14
1,22.76429891,301.605393,113.0896394,19
4,327.9540007,339.3775295,-19.11662996,11
5,-45.66467162,333.2695989,152.3101584,19
4,-323.1046303,209.9186203,219.789218,12
4,300.2930415,296.8044447,-13.95285916,19
3,-141.1535917,424.1306167,256.9456211,14
0,-18.73947261,340.4218567,148.176578,15
1,-13.81780156,284.786305,103.541886,12
4,-466.1692627,414.508775,405.2026215,12
1,236.993625,299.5248208,10.66148251,10
0,188.5847176,379.7772561,87.85165361,17
5,-278.0814237,338.0172652,266.7525336,19
5,803.7198099,384.6380565,-243.8684086,13
5,263.1128812,327.2164534,0.990981536,14
4,-66.82419126,282.6591869,154.6359024,17
5,-211.6243553,377.3352594,279.6584503,16
3,-360.6443515,316.7337877,319.7951048,18
0,-184.3089516,316.7620793,228.2572917,17
3,-614.4950999,475.128739,496.4394427,11
0,-514.7208445,343.7732873,405.4717511,13
4,-200.4204839,178.1934453,164.6487964,13
0,-179.0223147,325.3165921,223.21413,17
4,-94.34306221,281.3327588,163.602747,13
3,613.7007377,468.0613291,-94.2175394,16
1,228.1574391,345.3431091,30.40396804,12
3,387.8936655,264.9205952,-77.70993994,19
1,506.8809169,347.0184175,-92.42449383,19
3,373.9405983,262.2234656,-92.86025395,10
3,-163.1868986,341.5203584,230.2977949,14
3,354.0327893,417.6401077,3.841865642,16
3,640.5486627,188.8087812,-259.9466377,12
3,147.7985425,318.6287932,50.99619824,13
5,-145.5175406,337.4844133,198.6219619,10
1,112.0216215,296.6194415,56.18036905,19
0,772.634693,421.8065074,-205.7520536,14
4,-150.7674446,345.9171842,216.6683964,12
1,949.7441596,376.7127802,-314.6063983,17
0,739.1388273,209.0887994,-291.4785685,18
5,-112.8810403,329.3205845,188.9482182,18
1,23.83092827,260.4233256,72.77682923,17
0,125.7370535,406.7504468,106.4208038,13
4,610.0434968,498.613688,-78.24451232,15
4,-396.2707445,373.6923909,350.8613408,12
4,-56.65042852,351.0474269,176.6520941,17
1,361.3396417,360.9650729,-26.31182819,16
3,232.1929974,296.3230144,-1.822780456,15
1,-157.4511831,279.7794127,190.0436923,12
0,208.5578143,331.3067581,23.88353415,19
4,92.85546356,331.8476854,92.85631281,14
3,-98.1928113,318.547119,161.1880893,15
1,748.1333785,383.0513465,-205.5873357,16
1,651.9168699,250.327686,-242.7176722,10
5,460.2043987,436.7368817,-30.92692511,19
5,342.0280563,281.6648184,-49.67311056,16
5,-372.3606298,287.6789649,296.1332258,19
5,46.92663437,412.6232516,141.8595001,11
0,206.30536,328.2821655,17.67679405,10
0,-43.90834273,292.0260744,164.6796542,17
0,168.1577081,395.6245446,94.10251775,12
4,-347.190911,429.458768,352.7572723,12
3,278.4206862,380.4264409,31.53548937,17
1,-529.045526,326.2753943,410.1422807,13
0,-42.12828784,340.7967751,166.4496034,15
5,132.2255779,172.0299453,-8.936066663,15
1,451.76212,429.0176239,-31.60707741,10
1,-600.008673,316.2042427,432.2343661,13
1,-799.5055253,268.0578096,510.1716293,17
0,100.9883407,281.9427783,68.03609007,12
3,-127.0647571,321.2437863,184.4831198,14
0,649.4860087,444.8524912,-118.9679985,18
1,-36.16522658,380.9064884,183.7405609,12
5,-64.83555667,307.2467306,148.048548,11
1,315.8372917,239.8259482,-65.30790734,16
3,-681.1709265,325.0318675,482.5431192,17
0,134.3566703,291.8833462,39.73472142,10
3,-251.7698567,301.6667589,228.6653209,11
1,-95.95524511,222.9475623,140.0246546,14
3,-160.2240781,396.455583,247.0181967,18
5,-366.8613546,221.951127,294.8321463,16
3,110.4326758,409.9221509,110.1075819,11
3,198.967777,343.1752173,64.58767802,18
3,383.805961,310.8218187,-61.12253298,15
3,-168.6746815,464.5028708,297.6306495,14
3,-293.4106143,333.2712061,277.6416524,10
4,-335.1636313,244.8894343,258.0225095,12
1,336.9057234,382.6762957,-7.507898849,10
4,641.2907731,385.9578695,-173.2045928,17
1,-208.070738,406.026405,283.9911685,11
1,-243.8798637,258.0851685,228.5851404,17
1,-546.1836229,360.5708696,431.9476246,12
0,169.694365,430.0665957,119.4468159,15
4,-462.1241198,322.783582,359.5082415,17
0,189.4258318,290.781682,24.5719411,10
1,200.7406176,285.813803,10.21737653,14
5,-232.5835747,203.5655956,222.5542515,19
0,1116.312905,392.0625673,-388.1009377,18
5,312.582928,371.3368792,8.022783109,18
1,205.8813517,304.2836511,28.29379432,14
3,588.6345205,375.540151,-127.3559401,10
5,-173.9310068,428.5084582,269.816751,16
4,-81.00526464,290.2816743,162.1685998,18
0,360.5202364,327.3270561,-26.38053701,19
5,44.14685839,280.7449611,83.01082243,16
5,317.7641287,338.4273512,2.181580184,14
1,-353.7361511,270.6147504,275.3620175,13
4,386.170247,265.1205279,-68.47646425,16
3,-368.3213237,446.4609499,375.9901123,18
0,900.7276237,262.3612701,-336.7667182,19
0,628.3954007,483.9180234,-105.2171924,15
4,543.8952458,256.6641048,-167.7621809,12
5,-99.22970676,240.069545,146.5916799,19
3,-365.9530312,258.1276633,305.0665456,18
1,-29.43700436,324.0054041,131.88097,15
1,-398.4352553,291.0658497,317.0285117,12
4,-454.450733,360.1003242,394.9998764,14
4,52.47979487,249.2521029,86.55851857,17
1,280.1321129,364.0734417,5.361256397,14
5,509.0360039,288.5921548,-138.9495682,18
5,-297.2441157,330.9512381,285.5447447,14
1,309.5670221,366.9867979,0.810869625,13
1,-298.248809,432.0923086,320.9500112,10
1,-133.6669652,302.5006308,197.3837168,19
3,-70.09069017,367.3030612,196.3427484,14
4,364.8100308,373.529443,-32.12114723,13
0,-243.9176617,370.0051401,276.9176645,14
5,-123.4162468,453.5731637,259.3278265,13
0,349.3044005,474.6388397,37.05721309,18
5,-35.53495731,474.6783483,228.6833583,16
1,-41.03594588,355.6962323,171.6399342,10
5,239.2792155,313.963338,10.37109801,14
1,265.599679,358.1614486,1.667937324,18
5,-404.4626928,320.6570181,327.5195046,15
1,-438.0177718,225.2288534,304.6675198,19
5,-623.2996504,284.7727228,419.8281224,11
4,-975.5996482,404.2225936,646.3448945,12
3,-420.5295004,347.3403826,358.9356474,13
5,438.5575274,384.4908049,-46.3431137,18
3,-35.12172493,356.6187182,162.4636618,10
0,-417.8976906,338.7681046,352.6210846,16
5,342.2755515,358.8574301,-27.90566187,11
3,225.0234222,314.9857031,14.60775628,11
1,237.5251349,386.7972426,31.44773648,10
1,-399.5555015,309.3620226,335.8467301,19
0,1025.69069,281.0599175,-405.3251861,10
4,-519.5468163,362.9005947,414.1677839,18
3,-335.7792037,380.4315416,328.4189994,11
1,949.4730952,394.9563081,-298.0024515,19
4,426.1091782,319.8219597,-80.96420442,10
5,-5.502135202,227.2196181,108.5797526,19
1,671.5596726,404.9926379,-151.8262036,18
3,-640.9146147,339.4423611,469.4758883,15
1,97.16579866,378.4534735,117.8895792,19
1,395.5069447,262.4453153,-98.63615692,12
5,269.3510113,373.3407502,28.57337352,18
3,381.8119667,360.5745224,-55.85380136,10
1,-302.3869952,340.9084283,285.4061701,10
5,585.9723077,415.9163255,-104.736044,19
0,-296.4860455,384.6979836,302.4967456,17
5,39.83399408,254.3967718,77.43011048,14
4,281.0993295,323.2019098,-3.927410217,19
4,-507.0370424,339.162379,381.5183334,12
4,812.7896413,273.1806469,-304.4321944,10
0,-381.582197,344.8626858,347.4417252,15
1,189.077072,377.4683972,55.16507634,11
3,-423.7962328,310.5243055,350.5849834,16
4,100.5015325,205.3457192,38.4444827,16
1,179.6021461,312.0954328,46.69411072,19
0,-160.0084409,348.1111569,224.8818452,11
1,501.0356236,417.0487903,-63.88054543,10
5,-0.192788868,350.3057572,134.1944951,13
0,146.0219702,383.4175562,91.1724541,13
5,168.9565732,327.1173075,53.19536896,13
3,198.6742212,350.6555206,42.75228598,15
5,-284.3071712,313.7534628,275.135296,16
3,-264.4547293,354.3834681,270.9244782,11
4,-23.89913728,273.4999483,126.2897423,18
1,330.2385838,275.8262703,-51.88441021,19
4,700.8635162,248.8776405,-261.9237297,15
5,-553.0012502,423.4625891,466.0812815,13
3,265.9866087,193.2596364,-61.90356972,12
1,92.4640033,425.7050021,141.2138328,19
0,-263.5068403,481.1705163,344.915394,16
4,308.2005876,338.0536276,-14.16083317,11
5,370.1311659,255.9555107,-88.35730934,13
1,-19.1920468,284.1541051,136.3607324,17
0,498.9178903,337.9018358,-107.23634,12
4,414.0781585,290.8911967,-79.59824056,18
4,-613.7914426,281.9224194,398.7007262,18
0,65.34517089,396.0249088,146.8010172,14
3,381.1196019,324.7036296,-42.63843105,18
4,-314.3422926,259.6458287,248.9076787,14
4,70.53297822,319.5180069,81.90781622,15
3,33.48320558,340.7906275,126.5783235,10
0,-16.52967721,328.1453955,154.3156301,18
1,-24.22521806,342.4465412,162.9362065,19
4,653.9904514,224.3944639,-255.8346057,10
